SERIALNO,PUMA,AGEP,SEX,SCHL,OCCP_GROUP,PINCP,PINCP_RAW,PWGTP,MAR,WKHP,ENG
348601,NYC-Queens,63,1,21,Management,74700.0,74700.0,25,1,38.0,N/A (only English)
272199,North Country,61,1,19,Management,41000.0,41000.0,22,-1,42.0,Well
633686,Westchester,22,1,12,Food/Serving,8800.0,8800.0,29,1,43.0,N/A (only English)
331827,NYC-Staten Island,78,1,-1,N/A,0.0,0.0,122,1,0.0,Well
609180,NYC-Brooklyn,53,2,-1,N/A,0.0,0.0,22,1,0.0,Not at all
261793,NYC-Brooklyn,40,1,19,Production,18800.0,18800.0,70,5,40.0,N/A (only English)
719007,NYC-Manhattan,66,1,21,Unemployed,0.0,0.0,47,5,0.0,N/A (only English)
767558,Central NY,33,1,19,Sales,18100.0,18100.0,58,3,55.0,N/A (only English)
378503,NYC-Staten Island,61,2,16,Office/Admin,25600.0,25600.0,33,5,44.0,Very well
839803,Long Island,18,1,15,Production,15800.0,15800.0,40,5,43.0,N/A (only English)
349180,NYC-Manhattan,72,1,19,N/A,0.0,0.0,33,3,0.0,N/A (only English)
386196,North Country,45,1,22,Unemployed,0.0,0.0,22,5,0.0,N/A (only English)
534136,Capital Region,57,1,9,Healthcare,8000.0,8000.0,15,5,36.0,N/A (only English)
767741,NYC-Brooklyn,31,2,21,Business/Financial,64300.0,64300.0,43,1,38.0,N/A (only English)
934876,NYC-Brooklyn,60,1,23,Management,157700.0,157700.0,16,3,49.0,Well
199187,NYC-Brooklyn,67,2,16,Construction,22500.0,22500.0,70,5,35.0,N/A (only English)
908377,NYC-Brooklyn,47,2,16,Transportation,21100.0,21100.0,28,5,37.0,N/A (only English)
474072,NYC-Bronx,56,2,22,Business/Financial,81600.0,81600.0,27,1,39.0,Well
494651,NYC-Queens,46,2,16,Production,28800.0,28800.0,21,1,41.0,N/A (only English)
949501,NYC-Brooklyn,76,2,16,Sales,19700.0,19700.0,28,5,43.0,N/A (only English)
990380,Long Island,48,2,18,N/A,0.0,0.0,42,1,0.0,N/A (only English)
535944,NYC-Manhattan,72,2,18,Management,71900.0,71900.0,71,5,47.0,Not well
160336,NYC-Brooklyn,69,1,23,Management,9999999.0,211800.0,81,1,38.0,N/A (only English)
176436,NYC-Queens,43,1,21,Business/Financial,91100.0,91100.0,29,5,41.0,Well
123100,NYC-Queens,31,2,18,Management,30300.0,30300.0,62,5,42.0,Very well
840820,Westchester,42,2,20,Production,40300.0,40300.0,24,2,47.0,N/A (only English)
720071,NYC-Brooklyn,71,2,-1,N/A,0.0,0.0,96,1,0.0,N/A (only English)
283690,NYC-Bronx,31,2,16,Business/Financial,40000.0,40000.0,70,1,27.0,N/A (only English)
329978,NYC-Staten Island,50,1,16,Transportation,22100.0,22100.0,36,5,37.0,Not well
967524,NYC-Manhattan,69,2,-1,N/A,0.0,0.0,101,3,0.0,Not well
601772,NYC-Staten Island,39,1,-1,N/A,0.0,0.0,74,3,0.0,N/A (only English)
851819,NYC-Brooklyn,58,1,16,Business/Financial,34400.0,34400.0,23,1,35.0,N/A (only English)
248391,NYC-Manhattan,32,2,16,Food/Serving,17600.0,17600.0,20,1,33.0,N/A (only English)
607424,Western NY,23,1,18,Production,20600.0,20600.0,7,4,31.0,N/A (only English)
337497,North Country,68,2,12,N/A,0.0,0.0,63,1,0.0,N/A (only English)
193277,Capital Region,23,2,21,Computer/Math,33300.0,33300.0,9,1,44.0,N/A (only English)
923746,NYC-Brooklyn,34,1,15,N/A,0.0,0.0,168,3,0.0,N/A (only English)
724175,NYC-Manhattan,73,2,12,Transportation,11800.0,11800.0,28,5,20.0,N/A (only English)
866934,Long Island,39,2,20,Sales,,29200.0,18,1,36.0,N/A (only English)
624933,NYC-Queens,82,1,-1,N/A,0.0,0.0,92,1,0.0,Well
560106,NYC-Manhattan,83,1,19,Production,,46200.0,95,5,24.0,N/A (only English)
122820,NYC-Bronx,34,2,17,Food/Serving,15900.0,15900.0,76,5,32.0,N/A (only English)
697228,NYC-Manhattan,18,1,-1,N/A,0.0,0.0,81,1,0.0,N/A (only English)
308804,Western NY,62,2,20,Food/Serving,12100.0,12100.0,11,2,36.0,N/A (only English)
121926,NYC-Brooklyn,45,1,18,Construction,39300.0,39300.0,89,5,34.0,Very well
386585,Long Island,23,2,18,Sales,21800.0,21800.0,37,-1,42.0,N/A (only English)
379185,NYC-Brooklyn,62,2,16,Healthcare,34900.0,34900.0,43,1,46.0,N/A (only English)
813937,NYC-Bronx,18,1,20,Business/Financial,46400.0,46400.0,57,5,54.0,N/A (only English)
140169,NYC-Bronx,74,2,19,Production,32600.0,32600.0,103,3,37.0,N/A (only English)
198181,NYC-Brooklyn,25,2,16,Construction,17400.0,17400.0,69,1,45.0,N/A (only English)
738970,North Country,25,2,16,Sales,13100.0,13100.0,4,5,47.0,Well
