date,station,station_type,latitude,longitude,pm25_daily_mean,temperature_f,relative_humidity
2020-01-01,Albany-Central,urban,42.65,-73.75,,11.8,74.7
2020-01-02,Albany-Central,urban,42.65,-73.75,,14.4,80.2
2020-01-03,Albany-Central,urban,42.65,-73.75,,16.1,58.0
2020-01-04,Albany-Central,urban,42.65,-73.75,,17.9,42.1
2020-01-05,Albany-Central,urban,42.65,-73.75,,11.7,66.0
2020-01-06,Albany-Central,urban,42.65,-73.75,,9.6,79.2
2020-01-07,Albany-Central,urban,42.65,-73.75,,7.0,77.3
2020-01-08,Albany-Central,urban,42.65,-73.75,7.7,14.8,78.2
2020-01-09,Albany-Central,urban,42.65,-73.75,11.4,11.9,42.8
2020-01-10,Albany-Central,urban,42.65,-73.75,9.3,7.1,67.0
2020-01-11,Albany-Central,urban,42.65,-73.75,9.5,17.7,80.5
2020-01-12,Albany-Central,urban,42.65,-73.75,16.7,5.2,81.5
2020-01-13,Albany-Central,urban,42.65,-73.75,16.0,22.5,63.9
2020-01-14,Albany-Central,urban,42.65,-73.75,17.2,23.6,70.1
2020-01-15,Albany-Central,urban,42.65,-73.75,12.5,13.0,66.4
2020-01-16,Albany-Central,urban,42.65,-73.75,6.1,10.3,76.2
2020-01-17,Albany-Central,urban,42.65,-73.75,16.9,17.2,57.1
2020-01-18,Albany-Central,urban,42.65,-73.75,14.7,13.6,75.1
2020-01-19,Albany-Central,urban,42.65,-73.75,13.7,17.3,65.1
2020-01-20,Albany-Central,urban,42.65,-73.75,11.4,18.7,62.5
2020-01-21,Albany-Central,urban,42.65,-73.75,13.6,15.8,36.2
2020-01-22,Albany-Central,urban,42.65,-73.75,12.4,12.5,65.1
2020-01-23,Albany-Central,urban,42.65,-73.75,12.4,9.7,82.1
2020-01-24,Albany-Central,urban,42.65,-73.75,16.3,25.4,85.9
2020-01-25,Albany-Central,urban,42.65,-73.75,8.9,13.9,66.5
2020-01-26,Albany-Central,urban,42.65,-73.75,10.6,21.5,46.7
2020-01-27,Albany-Central,urban,42.65,-73.75,9.7,15.9,77.2
2020-01-28,Albany-Central,urban,42.65,-73.75,8.3,16.2,61.9
2020-01-29,Albany-Central,urban,42.65,-73.75,8.3,10.5,72.8
2020-01-30,Albany-Central,urban,42.65,-73.75,,20.1,77.7
2020-01-31,Albany-Central,urban,42.65,-73.75,24.8,21.9,47.1
2020-02-01,Albany-Central,urban,42.65,-73.75,16.3,24.0,84.0
2020-02-02,Albany-Central,urban,42.65,-73.75,11.9,15.2,51.7
2020-02-03,Albany-Central,urban,42.65,-73.75,9.8,27.3,73.1
2020-02-04,Albany-Central,urban,42.65,-73.75,16.3,15.3,48.9
2020-02-05,Albany-Central,urban,42.65,-73.75,15.6,20.0,76.1
2020-02-06,Albany-Central,urban,42.65,-73.75,9.8,12.0,58.3
2020-02-07,Albany-Central,urban,42.65,-73.75,17.9,25.3,91.4
2020-02-08,Albany-Central,urban,42.65,-73.75,13.6,15.0,70.4
2020-02-09,Albany-Central,urban,42.65,-73.75,16.3,27.6,55.9
2020-02-10,Albany-Central,urban,42.65,-73.75,16.1,45.7,73.6
2020-02-11,Albany-Central,urban,42.65,-73.75,20.0,16.0,42.5
2020-02-12,Albany-Central,urban,42.65,-73.75,,12.1,75.3
2020-02-13,Albany-Central,urban,42.65,-73.75,7.7,18.4,60.0
2020-02-14,Albany-Central,urban,42.65,-73.75,10.5,25.4,65.7
2020-02-15,Albany-Central,urban,42.65,-73.75,10.9,24.6,71.6
2020-02-16,Albany-Central,urban,42.65,-73.75,10.4,24.2,72.6
2020-02-17,Albany-Central,urban,42.65,-73.75,18.7,27.3,40.8
2020-02-18,Albany-Central,urban,42.65,-73.75,29.1,32.0,42.2
2020-02-19,Albany-Central,urban,42.65,-73.75,11.7,24.7,93.1
2020-02-20,Albany-Central,urban,42.65,-73.75,12.8,19.1,89.5
2020-02-21,Albany-Central,urban,42.65,-73.75,8.5,27.4,100.0
2020-02-22,Albany-Central,urban,42.65,-73.75,15.1,23.8,66.0
2020-02-23,Albany-Central,urban,42.65,-73.75,12.3,24.2,96.7
2020-02-24,Albany-Central,urban,42.65,-73.75,15.6,24.6,61.9
2020-02-25,Albany-Central,urban,42.65,-73.75,12.0,25.0,59.7
2020-02-26,Albany-Central,urban,42.65,-73.75,18.9,33.0,52.6
2020-02-27,Albany-Central,urban,42.65,-73.75,11.8,18.9,46.7
2020-02-28,Albany-Central,urban,42.65,-73.75,13.3,36.7,77.4
2020-02-29,Albany-Central,urban,42.65,-73.75,19.2,27.4,79.2
2020-03-01,Albany-Central,urban,42.65,-73.75,16.2,30.2,66.5
2020-03-02,Albany-Central,urban,42.65,-73.75,17.9,38.7,47.1
2020-03-03,Albany-Central,urban,42.65,-73.75,14.5,26.5,66.1
2020-03-04,Albany-Central,urban,42.65,-73.75,11.5,36.1,85.4
2020-03-05,Albany-Central,urban,42.65,-73.75,12.4,34.2,43.3
2020-03-06,Albany-Central,urban,42.65,-73.75,9.0,29.3,85.4
2020-03-07,Albany-Central,urban,42.65,-73.75,,32.8,64.7
2020-03-08,Albany-Central,urban,42.65,-73.75,10.4,41.9,76.6
2020-03-09,Albany-Central,urban,42.65,-73.75,18.9,32.3,68.4
2020-03-10,Albany-Central,urban,42.65,-73.75,15.0,48.9,71.1
2020-03-11,Albany-Central,urban,42.65,-73.75,20.3,36.8,97.8
2020-03-12,Albany-Central,urban,42.65,-73.75,11.3,42.4,37.8
2020-03-13,Albany-Central,urban,42.65,-73.75,17.0,47.9,79.3
2020-03-14,Albany-Central,urban,42.65,-73.75,12.4,41.6,87.1
2020-03-15,Albany-Central,urban,42.65,-73.75,22.9,34.8,39.3
2020-03-16,Albany-Central,urban,42.65,-73.75,24.5,23.4,51.5
2020-03-17,Albany-Central,urban,42.65,-73.75,15.3,38.8,58.2
2020-03-18,Albany-Central,urban,42.65,-73.75,19.1,30.8,73.0
2020-03-19,Albany-Central,urban,42.65,-73.75,17.3,35.0,88.3
2020-03-20,Albany-Central,urban,42.65,-73.75,16.1,46.2,67.5
2020-03-21,Albany-Central,urban,42.65,-73.75,19.4,48.7,50.5
2020-03-22,Albany-Central,urban,42.65,-73.75,19.7,30.6,86.7
2020-03-23,Albany-Central,urban,42.65,-73.75,26.3,41.9,89.4
2020-03-24,Albany-Central,urban,42.65,-73.75,9.6,41.8,76.9
2020-03-25,Albany-Central,urban,42.65,-73.75,7.6,41.9,45.4
2020-03-26,Albany-Central,urban,42.65,-73.75,19.8,36.3,72.3
2020-03-27,Albany-Central,urban,42.65,-73.75,11.1,46.4,57.0
2020-03-28,Albany-Central,urban,42.65,-73.75,12.0,35.2,62.1
2020-03-29,Albany-Central,urban,42.65,-73.75,12.4,45.6,63.3
2020-03-30,Albany-Central,urban,42.65,-73.75,14.7,41.5,46.6
2020-03-31,Albany-Central,urban,42.65,-73.75,28.3,43.8,73.6
2020-04-01,Albany-Central,urban,42.65,-73.75,18.1,54.9,28.1
2020-04-02,Albany-Central,urban,42.65,-73.75,12.8,39.7,90.3
2020-04-03,Albany-Central,urban,42.65,-73.75,22.5,60.9,80.2
2020-04-04,Albany-Central,urban,42.65,-73.75,11.8,38.9,78.9
2020-04-05,Albany-Central,urban,42.65,-73.75,31.4,45.4,61.4
2020-04-06,Albany-Central,urban,42.65,-73.75,13.1,42.9,65.7
2020-04-07,Albany-Central,urban,42.65,-73.75,12.2,50.9,63.7
2020-04-08,Albany-Central,urban,42.65,-73.75,19.3,43.1,66.5
2020-04-09,Albany-Central,urban,42.65,-73.75,21.2,46.1,50.0
2020-04-10,Albany-Central,urban,42.65,-73.75,17.8,44.5,74.6
2020-04-11,Albany-Central,urban,42.65,-73.75,9.1,49.5,58.9
2020-04-12,Albany-Central,urban,42.65,-73.75,23.3,47.3,77.5
2020-04-13,Albany-Central,urban,42.65,-73.75,11.0,40.6,49.5
2020-04-14,Albany-Central,urban,42.65,-73.75,18.7,48.1,66.3
2020-04-15,Albany-Central,urban,42.65,-73.75,15.6,48.6,73.8
2020-04-16,Albany-Central,urban,42.65,-73.75,19.2,65.0,78.1
2020-04-17,Albany-Central,urban,42.65,-73.75,14.7,48.9,31.5
2020-04-18,Albany-Central,urban,42.65,-73.75,18.7,52.1,77.4
2020-04-19,Albany-Central,urban,42.65,-73.75,7.9,54.8,73.5
2020-04-20,Albany-Central,urban,42.65,-73.75,21.8,67.9,67.7
2020-04-21,Albany-Central,urban,42.65,-73.75,19.0,63.7,71.0
2020-04-22,Albany-Central,urban,42.65,-73.75,15.2,49.2,58.3
2020-04-23,Albany-Central,urban,42.65,-73.75,19.9,63.8,80.1
2020-04-24,Albany-Central,urban,42.65,-73.75,9.9,64.8,74.8
2020-04-25,Albany-Central,urban,42.65,-73.75,16.7,55.0,65.7
2020-04-26,Albany-Central,urban,42.65,-73.75,20.3,58.0,53.1
2020-04-27,Albany-Central,urban,42.65,-73.75,20.3,58.1,66.5
2020-04-28,Albany-Central,urban,42.65,-73.75,18.0,64.0,39.6
2020-04-29,Albany-Central,urban,42.65,-73.75,29.5,62.9,30.2
2020-04-30,Albany-Central,urban,42.65,-73.75,16.1,68.2,61.1
2020-05-01,Albany-Central,urban,42.65,-73.75,10.8,63.4,62.6
2020-05-02,Albany-Central,urban,42.65,-73.75,15.5,52.2,100.0
2020-05-03,Albany-Central,urban,42.65,-73.75,17.8,58.5,67.3
2020-05-04,Albany-Central,urban,42.65,-73.75,13.8,60.2,61.2
2020-05-05,Albany-Central,urban,42.65,-73.75,28.9,52.9,68.1
2020-05-06,Albany-Central,urban,42.65,-73.75,,55.6,48.3
2020-05-07,Albany-Central,urban,42.65,-73.75,32.0,60.1,65.4
2020-05-08,Albany-Central,urban,42.65,-73.75,15.0,63.9,46.7
